mpg, cylinders, cubicinches, hp, weightlbs, time-to-60, year,Make
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Fiat
,,,,,,,Fiat
,,,,,,,Fiat
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Renault
,,,,,,,Renault
,,,,,,,Renault
,,,,,,,Renault
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Kia
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Mg
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Volkswagen
,,,,,,,Volkswagen
,,,,,,,Volkswagen
,,,,,,,Volkswagen
,,,,,,,
,,,,,,,
,,,,,,,Volvo
,,,,,,,Volvo
,,,,,,,Mini
,,,,,,,Mini
,,,,,,,Mini
,,,,,,,Mini
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Toyota
,,,,,,,Lexus
,,,,,,,Lexus
,,,,,,,Lexus
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Volvo
,,,,,,,Audi
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Porsche
,,,,,,,Porsche
,,,,,,,Nissan
,,,,,,,Aston Martin
,,,,,,,Aston Martin
,,,,,,,Ferrari
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Fiat
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Isuzu
,,,,,,,Isuzu
,,,,,,,Isuzu
,,,,,,,Mitsubishi
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Honda
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Porsche
,,,,,,,Porsche
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Bmw
,,,,,,,Lexus
,,,,,,,Ferrari
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Maruti Suzuki R
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Nissan
,,,,,,,Tata
,,,,,,,Hyundai
,,,,,,,Toyota
,,,,,,,Audi
,,,,,,,Land Rover
,,,,,,,Land Rover
,,,,,,,Land Rover
,,,,,,,Land Rover
,,,,,,,Land Rover
,,,,,,,Land Rover
,,,,,,,Land Rover
,,,,,,,Land Rover
,,,,,,,Lexus
,,,,,,,Lexus
,,,,,,,Lexus
,,,,,,,
,,,,,,,
,,,,,,,Fiat
,,,,,,,Fiat
,,,,,,,Fiat
,,,,,,,Fiat
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Toyota
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,Skoda
,,,,,,,
,,,,,,,
,,,,,,,Porsche
,,,,,,,Porsche
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mitsubishi
,,,,,,,Mitsubishi
,,,,,,,Mitsubishi
,,,,,,,Mitsubishi
,,,,,,,Mitsubishi
,,,,,,,Bentley
,,,,,,,Bentley
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Mitsubishi
